episode,timestep,reward
1655,4968000,18665.1887
1657,4974000,16104.0372
1659,4980000,17713.9908
1661,4986000,17074.0329
1663,4992000,16227.0465
1665,4998000,11966.3185
1667,5004000,16777.2957
1669,5010000,15875.084
1671,5016000,17777.8567
1673,5022000,14736.678
1675,5028000,20386.3567
1677,5034000,18360.7782
1679,5040000,8971.4272
1681,5046000,12781.9397
1683,5052000,17137.2194
1685,5058000,17439.9516
1687,5064000,18179.2016
1689,5070000,16827.9228
1691,5076000,18782.6199
1693,5082000,17484.3198
1695,5088000,15300.3991
1697,5094000,17821.4192
1699,5100000,19764.7333
1701,5106000,16816.1413
1703,5112000,18747.6128
1705,5118000,17360.4661
1707,5124000,16442.1648
1709,5130000,18124.054
1711,5136000,17424.8278
1713,5142000,20612.6757
1715,5148000,11591.5456
1717,5154000,16524.645
1719,5160000,17153.3941
1721,5166000,20315.6723
1723,5172000,9781.0167
1725,5178000,19475.3643
1727,5184000,15832.6591
1729,5190000,17813.0731
1731,5196000,12422.6201
1733,5202000,18531.1493
1735,5208000,11806.1954
1737,5214000,11639.3007
1739,5220000,17800.0366
1741,5226000,17950.5697
1743,5232000,18740.3624
1745,5238000,5296.9159
1747,5244000,18254.5485
1749,5250000,18895.7246
1751,5256000,12793.6497
1753,5262000,18067.1994
1755,5268000,13856.4876
1757,5274000,16571.5176
1759,5280000,13499.0193
1761,5286000,17985.8644
1763,5292000,17037.635
1765,5298000,15847.5817
1767,5304000,12821.4492
1769,5310000,15924.2815
1771,5316000,18522.6265
1773,5322000,17681.2534
1775,5328000,17811.538
1777,5334000,17784.2238
1779,5340000,16930.7667
1781,5346000,13379.9185
1783,5352000,17363.9037
1785,5358000,17174.7543
1787,5364000,16746.4827
1789,5370000,17832.6373
1791,5376000,9713.0492
1793,5382000,19406.9939
1795,5388000,18349.9253
1797,5394000,19656.064
1799,5400000,17954.7609
1801,5406000,16029.0024
1803,5412000,18330.321
1805,5418000,18424.464
1807,5424000,19004.6553
1809,5430000,20094.882
1811,5436000,17392.809
1813,5442000,18414.8222
1815,5448000,14403.8298
1817,5454000,17567.2769
1819,5460000,19991.6282
1821,5466000,11828.7061
1823,5472000,21407.4084
1825,5478000,19983.9857
1827,5484000,18142.7394
1829,5490000,19169.0769
1831,5496000,16875.5767
1833,5502000,19107.5338
1835,5508000,19338.4424
1837,5514000,14192.4552
1839,5520000,14413.4075
1841,5526000,18592.1644
1843,5532000,14306.7064
1845,5538000,11747.5976
1847,5544000,13109.6765
1849,5550000,18508.2221
1851,5556000,15892.8698
1853,5562000,12003.3189
1855,5568000,10077.8528
1857,5574000,19447.5158
1859,5580000,13705.0669
1861,5586000,17470.9408
1863,5592000,18731.9912
1865,5598000,14751.7321
1867,5604000,22476.9874
1869,5610000,21368.0602
1871,5616000,17366.1699
1873,5622000,17878.1363
1875,5628000,19425.7552
1877,5634000,17587.9484
1879,5640000,17752.1508
1881,5646000,11274.4129
1883,5652000,18575.3913
1885,5658000,16650.1047
1887,5664000,13444.1058
1889,5670000,18481.0751
1891,5676000,18945.279
1893,5682000,18770.8396
1895,5688000,13724.9512
1897,5694000,11965.6044
1899,5700000,18941.1428
1901,5706000,19011.9842
1903,5712000,14183.1508
1905,5718000,12941.0024
1907,5724000,20343.2465
1909,5730000,21816.0306
1911,5736000,17626.4236
1913,5742000,17037.2456
1915,5748000,20018.1988
1917,5754000,20059.3739
1919,5760000,18285.1653
1921,5766000,20129.7795
1923,5772000,18364.0235
1925,5778000,11227.366
1927,5784000,19239.5907
1929,5790000,18617.6987
1931,5796000,17963.4068
1933,5802000,18169.4691
1935,5808000,17867.3771
1937,5814000,16810.2906
1939,5820000,15848.4327
1941,5826000,10807.6003
1943,5832000,17221.3859
1945,5838000,18718.3944
1947,5844000,14096.0742
1949,5850000,12352.7546
1951,5856000,19271.2002
1953,5862000,18632.285
1955,5868000,18931.5234
1957,5874000,13114.4088
1959,5880000,16936.3149
1961,5886000,20267.4844
1963,5892000,17170.3192
1965,5898000,13265.4976
1967,5904000,18796.4809
1969,5910000,18537.2835
1971,5916000,20317.5311
1973,5922000,18002.3508
1975,5928000,18309.1109
1977,5934000,17644.652
1979,5940000,18021.9794
1981,5946000,17684.163
1983,5952000,20340.9076
1985,5958000,19452.6581
1987,5964000,18427.8285
1989,5970000,11683.6855
1991,5976000,20121.7523
1993,5982000,17941.2223
1995,5988000,13111.3341
1997,5994000,6050.8871
1999,6000000,17349.1433
2001,6006000,18313.7142
2003,6012000,17998.4497
2005,6018000,17673.06
2007,6024000,17624.1723
2009,6030000,19062.6867
2011,6036000,17748.8771
2013,6042000,19040.4206
2015,6048000,17091.2935
2017,6054000,17675.3855
2019,6060000,19869.9964
2021,6066000,6240.7233
2023,6072000,18466.7101
2025,6078000,13292.8969
2027,6084000,12878.0282
2029,6090000,19552.3426
2031,6096000,18961.6005
2033,6102000,20332.8117
2035,6108000,19473.7752
2037,6114000,19976.3054
2039,6120000,12804.4329
2041,6126000,16142.1392
2043,6132000,12831.009
2045,6138000,16532.217
2047,6144000,18327.4075
2049,6150000,13236.2881
2051,6156000,9813.8438
2053,6162000,14106.5311
2055,6168000,13090.5528
2057,6174000,10023.5713
2059,6180000,11425.8224
2061,6186000,12730.1744
2063,6192000,18928.4687
2065,6198000,19563.5913
2067,6204000,13248.46
2069,6210000,18059.012
2071,6216000,18655.1922
2073,6222000,17555.8646
2075,6228000,19333.8702
2077,6234000,17241.2594
2079,6240000,18866.9146
2081,6246000,17419.4585
2083,6252000,16714.1965
2085,6258000,13385.9339
2087,6264000,17643.5553
2089,6270000,17574.6519
2091,6276000,18132.7073
2093,6282000,18050.2646
2095,6288000,13706.9569
2097,6294000,15331.0118
2099,6300000,18018.6373
2101,6306000,19014.712
2103,6312000,17168.2105
2105,6318000,15724.861
2107,6324000,13580.1347
2109,6330000,14006.5954
2111,6336000,15930.4048
2113,6342000,14700.805
2115,6348000,11295.9931
2117,6354000,20315.2346
2119,6360000,17894.1407
2121,6366000,15979.7737
2123,6372000,16636.6971
2125,6378000,18921.724
2127,6384000,16336.3221
2129,6390000,19144.9627
2131,6396000,20164.4007
2133,6402000,19414.1446
2135,6408000,16502.7325
2137,6414000,15708.2505
2139,6420000,15844.3762
2141,6426000,18594.6985
2143,6432000,16491.0884
2145,6438000,14191.2475
2147,6444000,19065.6622
2149,6450000,18040.1461
2151,6456000,17886.1623
2153,6462000,13582.0748
2155,6468000,18669.9735
2157,6474000,18302.8656
2159,6480000,18746.6332
2161,6486000,15534.2468
2163,6492000,18291.3686
2165,6498000,19258.686
2167,6504000,18934.5849
2169,6510000,16940.7911
2171,6516000,14032.1259
2173,6522000,18842.0252
2175,6528000,17589.9817
2177,6534000,16497.5928
2179,6540000,16195.8073
2181,6546000,13595.6576
2183,6552000,16446.4812
2185,6558000,20884.9856
2187,6564000,18682.0335
2189,6570000,17779.5007
2191,6576000,19519.026
2193,6582000,18052.5067
2195,6588000,15350.4938
2197,6594000,12976.5181
2199,6600000,14998.3024
2201,6606000,16551.7177
2203,6612000,23189.3074
2205,6618000,11445.573
2207,6624000,18174.4708
2209,6630000,19591.8709
2211,6636000,14443.0368
2213,6642000,13930.5951
2215,6648000,18317.6065
2217,6654000,20341.2446
2219,6660000,12280.5346
2221,6666000,18078.0988
2223,6672000,18940.3346
2225,6678000,18689.233
2227,6684000,16509.2005
2229,6690000,18192.284
2231,6696000,17225.749
2233,6702000,17694.1584
2235,6708000,16356.626
2237,6714000,16760.9309
2239,6720000,15302.2054
2241,6726000,11877.6482
2243,6732000,18564.4691
2245,6738000,13665.7293
2247,6744000,15395.9934
2249,6750000,13326.13
2251,6756000,12505.3898
2253,6762000,13648.8854
2255,6768000,17542.1707
2257,6774000,15135.2084
2259,6780000,14816.0545
2261,6786000,19642.6174
2263,6792000,17297.997
2265,6798000,14145.462
2267,6804000,16783.6248
2269,6810000,13990.2556
